Смелому{смелый=A=дат,ед,полн,муж|смелый=A=дат,ед,полн,сред} и{и=CONJ=|и=INTJ=|и=S,сокр=пр,мн|и=S,сокр=пр,ед|и=S,сокр=вин,мн|и=S,сокр=вин,ед|и=S,сокр=дат,мн|и=S,сокр=дат,ед|и=S,сокр=род,мн|и=S,сокр=род,ед|и=S,сокр=твор,мн|и=S,сокр=твор,ед|и=S,сокр=им,мн|и=S,сокр=им,ед|и=PART=}	море{море=S,сред,неод=пр,ед|море=S,сред,неод=вин,ед|море=S,сред,неод=им,ед|мор=S,муж,неод=пр,ед|мора=S,имя,жен,од=пр,ед|мора=S,имя,жен,од=дат,ед} по{по=PR=} колено{колено=S,сред,неод=вин,ед|колено=S,сред,неод=им,ед}
Укатали{укатывать=V,пе=прош,мн,изъяв,сов} сивку{сивко=S,муж,од=дат,ед|сивка=S,мж,од=вин,ед}	крутые{крутой=A=вин,мн,полн,неод|крутой=A=им,мн,полн} горки{горка=S,гео,жен,неод=вин,мн|горка=S,гео,жен,неод=род,ед|горка=S,гео,жен,неод=им,мн|горки=S,гео,мн,неод=вин|горки=S,гео,мн,неод=им}
На{на=PR=|на=PART=} воре{вор=S,муж,од=пр,ед|воря=S,гео,ед,жен,неод=пр|воря=S,гео,ед,жен,неод=дат} и{и=CONJ=|и=INTJ=|и=S,сокр=пр,мн|и=S,сокр=пр,ед|и=S,сокр=вин,мн|и=S,сокр=вин,ед|и=S,сокр=дат,мн|и=S,сокр=дат,ед|и=S,сокр=род,мн|и=S,сокр=род,ед|и=S,сокр=твор,мн|и=S,сокр=твор,ед|и=S,сокр=им,мн|и=S,сокр=им,ед|и=PART=}	шапка{шапка=S,жен,неод=им,ед} горит{гореть=V,несов,нп=непрош,ед,изъяв,3-л}
У{у=PR=|у=INTJ=|у=S,сокр=пр,мн|у=S,сокр=пр,ед|у=S,сокр=вин,мн|у=S,сокр=вин,ед|у=S,сокр=дат,мн|у=S,сокр=дат,ед|у=S,сокр=род,мн|у=S,сокр=род,ед|у=S,сокр=твор,мн|у=S,сокр=твор,ед|у=S,сокр=им,мн|у=S,сокр=им,ед} страха{страх=S,муж,неод=род,ед}	глаза{глаз=S,муж,неод=вин,мн|глаз=S,муж,неод=род,ед|глаз=S,муж,неод=им,мн} велики{большой=A=мн,кр|великий=A=мн,кр|велик=S,муж,неод=вин,мн|велик=S,муж,неод=им,мн}
Хвост{хвост=S,муж,неод=вин,ед|хвост=S,муж,неод=им,ед} вытащишь{вытаскивать=V,пе=непрош,ед,изъяв,2-л,сов} —	голова{голова=S,жен,неод=им,ед|голов=S,фам,муж,од=вин,ед|голов=S,фам,муж,од=род,ед|голова=S,мж,од=им,ед|голова=S,фам,жен,од=им,ед} увязнет{увязнуть=V,сов=непрош,ед,изъяв,3-л|увязать=V,нп=непрош,ед,изъяв,3-л,сов}
Тише{тихо=ADV=срав|тихий=A=срав|тиша=S,имя,муж,од=пр,ед|тиша=S,имя,муж,од=дат,ед} едешь{ехать=V,несов,нп=непрош,ед,изъяв,2-л} —	дальше{далеко=ADV=срав|далекий=A=срав} будешь{быть=V,нп=непрош,ед,изъяв,2-л}
Хорошо{хорошо=ADV,прдк=|хорошо=PART=|хороший=A=ед,кр,сред|хорошо=ADV=вводн} там{там=ADVPRO=|там=PART=},	где{где=ADVPRO=} нас{мы=SPRO,мн,1-л=пр|мы=SPRO,мн,1-л=вин|мы=SPRO,мн,1-л=род} нет{нет=PART=|нет=ADV,прдк=|нет=S,ед,муж,неод=вин|нет=S,ед,муж,неод=им}
Гусь{гусь=S,муж,од=им,ед} свинье{свинья=S,жен,од=пр,ед|свинья=S,жен,од=дат,ед}	не{не=PART=} товарищ{товарищ=S,муж,од=им,ед}
Сядем{садиться=V,нп=мн,пов,1-л,сов|садиться=V,нп=непрош,мн,изъяв,1-л,сов} рядком{рядком=ADV=|рядок=S,муж,неод=твор,ед} да{да=CONJ=|да=PART=|да=ADV,прдк=}	потолкуем{потолковать=V,сов,нп=непрош,мн,изъяв,1-л|потолковать=V,сов,нп=мн,пов,1-л} ладком{ладком=ADV=}
Не{не=PART=} в{в=PR=|в=S,сокр=пр,мн|в=S,сокр=пр,ед|в=S,сокр=вин,мн|в=S,сокр=вин,ед|в=S,сокр=дат,мн|в=S,сокр=дат,ед|в=S,сокр=род,мн|в=S,сокр=род,ед|в=S,сокр=твор,мн|в=S,сокр=твор,ед|в=S,сокр=им,мн|в=S,сокр=им,ед} бровь{бровь=S,жен,неод=вин,ед|бровь=S,жен,неод=им,ед}, а{а=CONJ=|а=PART=|а=INTJ=|а=S,сокр=пр,мн|а=S,сокр=пр,ед|а=S,сокр=вин,мн|а=S,сокр=вин,ед|а=S,сокр=дат,мн|а=S,сокр=дат,ед|а=S,сокр=род,мн|а=S,сокр=род,ед|а=S,сокр=твор,мн|а=S,сокр=твор,ед|а=S,сокр=им,мн|а=S,сокр=им,ед}	в{в=PR=|в=S,сокр=пр,мн|в=S,сокр=пр,ед|в=S,сокр=вин,мн|в=S,сокр=вин,ед|в=S,сокр=дат,мн|в=S,сокр=дат,ед|в=S,сокр=род,мн|в=S,сокр=род,ед|в=S,сокр=твор,мн|в=S,сокр=твор,ед|в=S,сокр=им,мн|в=S,сокр=им,ед} глаз{глаз=S,муж,неод=вин,ед|глаз=S,муж,неод=род,мн|глаз=S,муж,неод=им,ед}
Слово{слово=S,сред,неод=вин,ед|слово=S,сред,неод=им,ед} — серебро{серебро=S,ед,сред,неод=вин|серебро=S,ед,сред,неод=им}, а{а=CONJ=|а=PART=|а=INTJ=|а=S,сокр=пр,мн|а=S,сокр=пр,ед|а=S,сокр=вин,мн|а=S,сокр=вин,ед|а=S,сокр=дат,мн|а=S,сокр=дат,ед|а=S,сокр=род,мн|а=S,сокр=род,ед|а=S,сокр=твор,мн|а=S,сокр=твор,ед|а=S,сокр=им,мн|а=S,сокр=им,ед} молчание{молчание=S,сред,неод=вин,ед|молчание=S,сред,неод=им,ед} —	 золото{золото=S,ед,сред,неод=вин|золото=S,ед,сред,неод=им}
Семь{семь=NUM=вин|семь=NUM=им} пятниц{пятница=S,жен,неод=род,мн}	на{на=PR=|на=PART=} неделе{неделя=S,жен,неод=пр,ед|неделя=S,жен,неод=дат,ед}
Копейка{копейка=S,жен,неод=им,ед} рубль{рубль=S,муж,неод=вин,ед|рубль=S,муж,неод=им,ед}	бережет{беречь=V,несов,пе=непрош,ед,изъяв,3-л}
Седина{седина=S,жен,неод=им,ед} в{в=PR=|в=S,сокр=пр,мн|в=S,сокр=пр,ед|в=S,сокр=вин,мн|в=S,сокр=вин,ед|в=S,сокр=дат,мн|в=S,сокр=дат,ед|в=S,сокр=род,мн|в=S,сокр=род,ед|в=S,сокр=твор,мн|в=S,сокр=твор,ед|в=S,сокр=им,мн|в=S,сокр=им,ед} бороду{борода=S,жен,неод=вин,ед} —	бес{бес=S,муж,од=им,ед} в{в=PR=|в=S,сокр=пр,мн|в=S,сокр=пр,ед|в=S,сокр=вин,мн|в=S,сокр=вин,ед|в=S,сокр=дат,мн|в=S,сокр=дат,ед|в=S,сокр=род,мн|в=S,сокр=род,ед|в=S,сокр=твор,мн|в=S,сокр=твор,ед|в=S,сокр=им,мн|в=S,сокр=им,ед} ребро{ребро=S,сред,неод=вин,ед|ребро=S,сред,неод=им,ед}
Из{из=PR=|иза=S,имя,жен,од=вин,мн|иза=S,имя,жен,од=род,мн} огня{огонь=S,муж,неод=род,ед} да{да=CONJ=|да=PART=|да=ADV,прдк=}	в{в=PR=|в=S,сокр=пр,мн|в=S,сокр=пр,ед|в=S,сокр=вин,мн|в=S,сокр=вин,ед|в=S,сокр=дат,мн|в=S,сокр=дат,ед|в=S,сокр=род,мн|в=S,сокр=род,ед|в=S,сокр=твор,мн|в=S,сокр=твор,ед|в=S,сокр=им,мн|в=S,сокр=им,ед} полымя{полымя=S,ед,сред,неод=вин|полымя=S,ед,сред,неод=им}
Сделал{сделать=V,сов,пе=прош,ед,изъяв,муж} дело{дело=S,сред,неод=вин,ед|дело=S,сред,неод=им,ед|девать=V=прош,ед,изъяв,сред,сов} —	гуляй{гулять=V,несов,нп=ед,пов,2-л} смело{смело=ADV=|сметь=V,несов,нп=прош,ед,изъяв,сред|смелый=A=ед,кр,сред|смести=V,сов=прош,ед,изъяв,сред}
Не{не=PART=} хошь{хотеть=V,несов,пе=разг,непрош,ед,изъяв,2-л} кулеш{кулеша=S,фам,мж,од=вин,мн|кулеша=S,фам,мж,од=род,мн|кулеш=S,муж,неод=вин,ед|кулеш=S,муж,неод=им,ед} —	ничего{ничто=SPRO,ед,сред=род|ничего=ADV=|ничего=ADV,прдк=} не{не=PART=} ешь{есть=V,несов,пе=непрош,ед,изъяв,2-л|есть=V,несов,пе=ед,пов,2-л}
Сам{сам=APRO=вин,ед,муж,неод|сам=APRO=им,ед,муж} заварил{заваривать=V,пе=прош,ед,изъяв,муж,сов} кашу{каша=S,жен,неод=вин,ед} —	сам{сам=APRO=вин,ед,муж,неод|сам=APRO=им,ед,муж} её{она=SPRO,ед,3-л,жен=вин|она=SPRO,ед,3-л,жен=род|ее=APRO=пр,мн|ее=APRO=дат,мн|ее=APRO=род,мн|ее=APRO=твор,мн|ее=APRO=им,мн|ее=APRO=им,ед,жен|ее=APRO=вин,ед,муж,од|ее=APRO=род,ед,муж|ее=APRO=род,ед,сред|ее=APRO=вин,ед,сред|ее=APRO=им,ед,сред|ее=APRO=пр,ед,жен|ее=APRO=дат,ед,жен|ее=APRO=род,ед,жен|ее=APRO=твор,ед,жен|ее=APRO=пр,ед,муж|ее=APRO=пр,ед,сред|ее=APRO=дат,ед,муж|ее=APRO=дат,ед,сред|ее=APRO=вин,ед,жен|ее=APRO=вин,мн,неод|ее=APRO=вин,ед,муж,неод|ее=APRO=им,ед,муж|ее=APRO=твор,ед,муж|ее=APRO=твор,ед,сред|ее=APRO=вин,мн,од|ее=APRO=пр,мн,сред|ее=APRO=вин,мн,сред|ее=APRO=дат,мн,сред|ее=APRO=род,мн,сред|ее=APRO=твор,мн,сред|ее=APRO=им,мн,сред|ее=APRO=пр,мн,муж|ее=APRO=вин,мн,муж|ее=APRO=вин,ед,муж|ее=APRO=дат,мн,муж} и{и=CONJ=|и=INTJ=|и=S,сокр=пр,мн|и=S,сокр=пр,ед|и=S,сокр=вин,мн|и=S,сокр=вин,ед|и=S,сокр=дат,мн|и=S,сокр=дат,ед|и=S,сокр=род,мн|и=S,сокр=род,ед|и=S,сокр=твор,мн|и=S,сокр=твор,ед|и=S,сокр=им,мн|и=S,сокр=им,ед|и=PART=} расхлебывай{расхлебывать=V,пе=ед,пов,2-л,несов}
С{с=PR=|с=S,сокр=пр,мн|с=S,сокр=пр,ед|с=S,сокр=вин,мн|с=S,сокр=вин,ед|с=S,сокр=дат,мн|с=S,сокр=дат,ед|с=S,сокр=род,мн|с=S,сокр=род,ед|с=S,сокр=твор,мн|с=S,сокр=твор,ед|с=S,сокр=им,мн|с=S,сокр=им,ед} волками{волк=S,муж,од=твор,мн|волк=S,муж,неод=твор,мн} жить{жить=V,несов,нп=инф} —	по{по=PR=} волчьи{волчий=A,полн=им,мн|волчий=A,полн=вин,мн,неод} выть{выть=V,несов,нп=инф}
Русский{русский=A=вин,ед,полн,муж,неод|русский=A=им,ед,полн,муж|русский=S,муж,од=им,ед} медленно{медленно=ADV=|медленный=A=ед,кр,сред} запрягает{запрягать=V=непрош,ед,изъяв,3-л,несов,пе}, да{да=CONJ=|да=PART=|да=ADV,прдк=}	быстро{быстро=ADV=|быстрый=A=ед,кр,сред} едет{ехать=V,несов,нп=непрош,ед,изъяв,3-л}
Щи{щи=S,мн,неод=вин|щи=S,мн,неод=им} да{да=CONJ=|да=PART=|да=ADV,прдк=} каша{каша=S,жен,неод=им,ед} —	пища{пища=S,жен,неод=им,ед|пищать=V,несов,нп=непрош,деепр} наша{наш=APRO=им,ед,жен}
Раз{раз=S,муж,неод=вин,ед|раз=S,муж,неод=род,мн|раз=S,муж,неод=им,ед|раз=CONJ=|раз=ADV=} на{на=PR=|на=PART=} раз{раз=S,муж,неод=вин,ед|раз=S,муж,неод=род,мн|раз=S,муж,неод=им,ед|раз=CONJ=|раз=ADV=}	не{не=PART=} приходится{приходиться=V,нп=непрош,ед,изъяв,3-л,несов}
Шила{шить=V,несов,пе=прош,ед,изъяв,жен|шило=S,сред,неод=род,ед} в{в=PR=|в=S,сокр=пр,мн|в=S,сокр=пр,ед|в=S,сокр=вин,мн|в=S,сокр=вин,ед|в=S,сокр=дат,мн|в=S,сокр=дат,ед|в=S,сокр=род,мн|в=S,сокр=род,ед|в=S,сокр=твор,мн|в=S,сокр=твор,ед|в=S,сокр=им,мн|в=S,сокр=им,ед} мешке{мешок=S,муж,неод=пр,ед|мешок=S,муж,од=пр,ед}	не{не=PART=} утаишь{утаивать=V,пе=непрош,ед,изъяв,2-л,сов}
Что{что=CONJ=|что=SPRO,ед,сред,неод=вин|что=SPRO,ед,сред,неод=им|что=ADVPRO=} упало{упасть=V,сов,нп=прош,ед,изъяв,сред},	то{то=SPRO,ед,сред,неод=вин|то=SPRO,ед,сред,неод=им|то=CONJ=|то=PART=|тот=APRO=вин,ед,сред|тот=APRO=им,ед,сред} пропало{пропадать=V,нп=прош,ед,изъяв,сред,сов}
Переливать{переливать=V,пе=инф,несов} из{из=PR=|иза=S,имя,жен,од=вин,мн|иза=S,имя,жен,од=род,мн} пустого{пустой=A=вин,ед,полн,муж,од|пустой=A=род,ед,полн,муж|пустой=A=род,ед,полн,сред}	в{в=PR=|в=S,сокр=пр,мн|в=S,сокр=пр,ед|в=S,сокр=вин,мн|в=S,сокр=вин,ед|в=S,сокр=дат,мн|в=S,сокр=дат,ед|в=S,сокр=род,мн|в=S,сокр=род,ед|в=S,сокр=твор,мн|в=S,сокр=твор,ед|в=S,сокр=им,мн|в=S,сокр=им,ед} порожнее{порожний=A=вин,ед,полн,сред|порожний=A=им,ед,полн,сред}
Первый{первый=ANUM=вин,ед,муж,неод|первый=ANUM=им,ед,муж} блин{блин=S,муж,неод=вин,ед|блин=S,муж,неод=им,ед} —	комом{ком=S,муж,неод=твор,ед}
Уродится{урождаться=V,нп=непрош,ед,изъяв,3-л,сов} не{не=PART=} уродится{урождаться=V,нп=непрош,ед,изъяв,3-л,сов}, а{а=CONJ=|а=PART=|а=INTJ=|а=S,сокр=пр,мн|а=S,сокр=пр,ед|а=S,сокр=вин,мн|а=S,сокр=вин,ед|а=S,сокр=дат,мн|а=S,сокр=дат,ед|а=S,сокр=род,мн|а=S,сокр=род,ед|а=S,сокр=твор,мн|а=S,сокр=твор,ед|а=S,сокр=им,мн|а=S,сокр=им,ед}	
Паршивая{паршивый=A=им,ед,полн,жен} овца{овца=S,жен,од=им,ед}	все{весь=APRO=им,мн|весь=APRO=вин,ед,сред|весь=APRO=им,ед,сред|весь=APRO=вин,мн,неод|все=ADV=|все=SPRO,мн=вин|все=SPRO,мн=им|все=PART=|все=SPRO,ед,сред,неод=вин|все=SPRO,ед,сред,неод=им} стадо{стадо=S,сред,неод=вин,ед|стадо=S,сред,неод=им,ед} портит{портить=V,несов,пе=непрош,ед,изъяв,3-л}
Один{один=APRO=вин,ед,муж,неод|один=APRO=им,ед,муж|один=ANUM=вин,ед,муж,неод|один=ANUM=им,ед,муж|один=S,муж,од=им,ед} в{в=PR=|в=S,сокр=пр,мн|в=S,сокр=пр,ед|в=S,сокр=вин,мн|в=S,сокр=вин,ед|в=S,сокр=дат,мн|в=S,сокр=дат,ед|в=S,сокр=род,мн|в=S,сокр=род,ед|в=S,сокр=твор,мн|в=S,сокр=твор,ед|в=S,сокр=им,мн|в=S,сокр=им,ед} поле{поле=S,сред,неод=пр,ед|поле=S,сред,неод=вин,ед|поле=S,сред,неод=им,ед|пол=S,муж,неод=пр,ед|пола=S,жен,неод=пр,ед|пола=S,жен,неод=дат,ед|поля=S,имя,жен,од=пр,ед|поля=S,имя,жен,од=дат,ед|поль=S,имя,муж,од=пр,ед|пол=S,имя,муж,од=пр,ед}	не{не=PART=} воин{воин=S,муж,од=им,ед}
У{у=PR=|у=INTJ=|у=S,сокр=пр,мн|у=S,сокр=пр,ед|у=S,сокр=вин,мн|у=S,сокр=вин,ед|у=S,сокр=дат,мн|у=S,сокр=дат,ед|у=S,сокр=род,мн|у=S,сокр=род,ед|у=S,сокр=твор,мн|у=S,сокр=твор,ед|у=S,сокр=им,мн|у=S,сокр=им,ед} семи{семь=NUM=пр|семь=NUM=дат|семь=NUM=род} нянек{нянька=S,жен,од=вин,мн|нянька=S,жен,од=род,мн}	дитя{дитя=S,устар,ед,сред,од=вин|дитя=S,устар,ед,сред,од=им} без{без=PR=} глазу{глаз=S,муж,неод=дат,ед|глаз=S,муж,неод=местн,ед}
Овчинка{овчинка=S,жен,неод=им,ед} выделки{выделка=S,жен,неод=вин,мн|выделка=S,жен,неод=род,ед|выделка=S,жен,неод=им,мн}	не{не=PART=} стоит{стоять=V,несов,нп=непрош,ед,изъяв,3-л|стоить=V,несов=непрош,ед,изъяв,3-л}
Терпенье{терпение=S,сред,неод=пр,ед|терпение=S,сред,неод=вин,ед|терпение=S,сред,неод=им,ед} и{и=CONJ=|и=INTJ=|и=S,сокр=пр,мн|и=S,сокр=пр,ед|и=S,сокр=вин,мн|и=S,сокр=вин,ед|и=S,сокр=дат,мн|и=S,сокр=дат,ед|и=S,сокр=род,мн|и=S,сокр=род,ед|и=S,сокр=твор,мн|и=S,сокр=твор,ед|и=S,сокр=им,мн|и=S,сокр=им,ед|и=PART=} труд{труд=S,муж,неод=вин,ед|труд=S,муж,неод=им,ед}	все{весь=APRO=им,мн|весь=APRO=вин,ед,сред|весь=APRO=им,ед,сред|весь=APRO=вин,мн,неод|все=ADV=|все=SPRO,мн=вин|все=SPRO,мн=им|все=PART=|все=SPRO,ед,сред,неод=вин|все=SPRO,ед,сред,неод=им} перетрут{перетирать=V=непрош,мн,изъяв,3-л,сов}
Обещать{обещать=V,пе=инф,несов|обещать=V,пе=инф,сов} — дело{дело=S,сред,неод=вин,ед|дело=S,сред,неод=им,ед|девать=V=прош,ед,изъяв,сред,сов} господское{господский=A=вин,ед,полн,сред|господский=A=им,ед,полн,сред},	исполнять{исполнять=V,пе=инф,несов} — холопское{холопский=A=вин,ед,полн,сред|холопский=A=им,ед,полн,сред}
Такое{такой=APRO=вин,ед,сред|такой=APRO=им,ед,сред} сено{сено=S,сред,неод=вин,ед|сено=S,сред,неод=им,ед}, что{что=CONJ=|что=SPRO,ед,сред,неод=вин|что=SPRO,ед,сред,неод=им|что=ADVPRO=} сам{сам=APRO=вин,ед,муж,неод|сам=APRO=им,ед,муж} бы{бы=PART=} ел{есть=V,несов,пе=прош,ед,изъяв,муж},	да{да=CONJ=|да=PART=|да=ADV,прдк=}деньги{деньги=S,мн,неод=вин|деньги=S,мн,неод=им|деньга=S,жен,неод=вин,мн|деньга=S,жен,неод=род,ед|деньга=S,жен,неод=им,мн} нужны{нужный=A=мн,кр}
Быстро{быстро=ADV=|быстрый=A=ед,кр,сред} только{только=PART=|только=CONJ=|только=ADV=}	кошки{кошка=S,жен,од=род,ед|кошка=S,жен,од=им,мн|кошка=S,жен,неод=вин,мн|кошка=S,жен,неод=род,ед|кошка=S,жен,неод=им,мн} родятся{рождаться=V,нп=непрош,мн,изъяв,3-л,сов|родиться=V,несов,нп=непрош,мн,изъяв,3-л}
Сытое{сытый=A=вин,ед,полн,сред|сытый=A=им,ед,полн,сред} брюхо{брюхо=S,сред,неод=вин,ед|брюхо=S,сред,неод=им,ед}	к{к=PR=|к=S,сокр=пр,мн|к=S,сокр=пр,ед|к=S,сокр=вин,мн|к=S,сокр=вин,ед|к=S,сокр=дат,мн|к=S,сокр=дат,ед|к=S,сокр=род,мн|к=S,сокр=род,ед|к=S,сокр=твор,мн|к=S,сокр=твор,ед|к=S,сокр=им,мн|к=S,сокр=им,ед} учению{учение=S,сред,неод=дат,ед} глухо{глухо=ADV=|глухой=A=ед,кр,сред}
Старый{старый=A=вин,ед,полн,муж,неод|старый=A=им,ед,полн,муж} друг{друг=S,муж,од=им,ед} лучше{хорошо=ADV=срав,вводн|хороший=A=срав}	новых{новый=A=пр,мн,полн|новый=A=вин,мн,полн,од|новый=A=род,мн,полн|новое=S,сред,неод=пр,мн|новое=S,сред,неод=вин,мн|новое=S,сред,неод=род,мн} двух{два=NUM=пр|два=NUM=род|два=NUM=вин,муж,од|два=NUM=вин,жен,од}
Новая{новый=A=им,ед,полн,жен} метла{метла=S,жен,неод=им,ед}	по{по=PR=}-новую{новый=A=вин,ед,полн,жен} метет{мести=V,несов,пе=непрош,ед,изъяв,3-л}
Сосед{сосед=S,муж,од=им,ед} спать{спать=V,несов,нп=инф} не{не=PART=} дает{давать=V,пе=непрош,ед,изъяв,3-л,несов}:	хорошо{хорошо=ADV,прдк=|хорошо=PART=|хороший=A=ед,кр,сред|хорошо=ADV=вводн} живет{жить=V,несов,нп=непрош,ед,изъяв,3-л}
Ни{ни=PART=|ни=CONJ=} уму{ум=S,муж,неод=дат,ед},	ни{ни=PART=|ни=CONJ=} сердцу{сердце=S,сред,неод=дат,ед}
Собака{собака=S,жен,од=им,ед} лает{лаять=V,несов,пе=непрош,ед,изъяв,3-л} —	ветер{ветер=S,муж,неод=вин,ед|ветер=S,муж,неод=им,ед} носит{носить=V,несов,пе=непрош,ед,изъяв,3-л}
Ни{ни=PART=|ни=CONJ=} богу{бог=S,муж,од=дат,ед} свечка{свечка=S,жен,неод=им,ед}ни{ни=PART=|ни=CONJ=} черту{черт=S,муж,од=дат,ед|черта=S,жен,неод=вин,ед}	кочерга{кочерга=S,жен,неод=им,ед}
